rank,name,common_name,constellation,ra_deg,dec_deg,magnitude,surface_brightness,size_major_arcmin,size_minor_arcmin,best_site,dark_minutes,peak_alt_deg,best_night,dark_site_only,under_sampled,score,captured_minutes,budget_minutes,completion_pct,deficit_minutes,notes
1,M94,Croc's Eye Galaxy,CVn,192.72200,+41.12000,8.20,21.85,11.2,9.1,Jersey City,180,75.13,2026-06-07,no,no,256.09,0.0,180.0,0.0,180.0,"Compact bright core + faint outer ring. High inner SB — core is easy, outer ring needs depth."
2,M63,Sunflower Galaxy,CVn,198.95500,+42.03000,8.60,22.12,12.6,7.2,Jersey City,180,79.81,2026-06-07,no,no,243.87,0.0,240.0,0.0,240.0,"Flocculent spiral, mottled arms. Rewards integration time."
3,NGC5907,Splinter Galaxy,Dra,228.97400,+56.32900,10.40,22.15,12.7,1.4,Jersey City,180,74.39,2026-06-16,no,no,234.89,0.0,300.0,0.0,300.0,"Ultra-thin edge-on, faint stellar tidal stream loops around it (needs a dark site). Disk itself is high-SB."
4,NGC4631,Whale Galaxy,CVn,190.53300,+32.54100,9.20,21.88,15.5,2.7,Jersey City,150,70.69,2026-06-07,no,no,233.63,0.0,180.0,0.0,180.0,Warped edge-on 'whale' + dwarf companion NGC 4627. Frames with the Hockey Stick (NGC 4656).
5,M64,Black Eye Galaxy,Com,194.18200,+21.68300,8.50,21.46,10.0,5.4,Jersey City,150,65.49,2026-06-07,no,no,228.11,0.0,180.0,0.0,180.0,Bright spiral with a dramatic dark dust cap over the core. High SB — the dust lane shows quickly.
6,M102,Spindle Galaxy (NGC 5866),Dra,226.62300,+55.76300,9.90,20.91,4.7,1.9,Jersey City,180,74.95,2026-06-14,no,yes,197.23,0.0,240.0,0.0,240.0,Edge-on lenticular with sharp dust lane. Small but high SB — tiny on the S30's wide field.
7,NGC4565,Needle Galaxy,Com,189.08700,+25.98800,9.60,22.03,15.8,2.1,Jersey City,120,65.69,2026-06-07,no,no,182.85,0.0,180.0,0.0,180.0,"The definitive edge-on: knife-thin disk, central bulge, dust lane. High SB — superb from the city."
8,M106,M106,CVn,184.74000,+47.30400,8.40,22.35,18.6,7.2,Jersey City,150,69.15,2026-06-07,no,no,181.28,0.0,180.0,0.0,180.0,"Bright Seyfert spiral with anomalous arms. Bright core, easy from JC."
9,M101,Pinwheel Galaxy,UMa,210.80200,+54.34900,7.90,23.75,28.8,26.9,Jersey City,180,76.33,2026-06-07,yes,no,153.80,0.0,360.0,0.0,360.0,"Big, beautiful, LOW surface brightness face-on. Bright mag is deceptive — hard from the city, wants a dark site."
10,NGC6503,Lost-in-Space Galaxy,Dra,267.36000,+70.14400,10.20,21.91,7.1,2.4,Jersey City,180,60.48,2026-06-20,no,no,148.89,0.0,300.0,0.0,300.0,Isolated near-edge-on at the edge of the Local Void. High dec — well placed in summer.
11,NGC4490,Cocoon Galaxy,CVn,187.65100,+41.64400,9.80,21.66,6.3,3.1,Jersey City,150,71.39,2026-06-07,no,no,136.27,0.0,240.0,0.0,240.0,"Interacting starburst with companion NGC 4485. Distorted, blue."
12,NGC4656,Hockey Stick Galaxy,CVn,191.01000,+32.16800,10.50,23.07,13.5,2.8,Jersey City,150,70.83,2026-06-07,yes,no,132.50,0.0,300.0,0.0,300.0,"Hooked, tidally distorted edge-on. Lowish SB; pairs with the Whale in one wide frame."
